Rainfall - (MM), Year, Statistics, Country, ISO3
3.66398, 1918, Aug Average, Saudi Arabia, SAU
1.53224, 1918, Sep Average, Saudi Arabia, SAU
3.07805, 1918, Oct Average, Saudi Arabia, SAU
6.75354, 1918, Nov Average, Saudi Arabia, SAU
6.2918, 1918, Dec Average, Saudi Arabia, SAU
7.02412, 1919, Jan Average, Saudi Arabia, SAU
6.58099, 1919, Feb Average, Saudi Arabia, SAU
11.1681, 1919, Mar Average, Saudi Arabia, SAU
18.7603, 1919, Apr Average, Saudi Arabia, SAU
9.26511, 1919, May Average, Saudi Arabia, SAU
2.03423, 1919, Jun Average, Saudi Arabia, SAU
3.98453, 1919, Jul Average, Saudi Arabia, SAU
3.61642, 1919, Aug Average, Saudi Arabia, SAU
1.05831, 1919, Sep Average, Saudi Arabia, SAU
2.01577, 1919, Oct Average, Saudi Arabia, SAU
6.11489, 1919, Nov Average, Saudi Arabia, SAU
5.64676, 1919, Dec Average, Saudi Arabia, SAU
7.1733, 1920, Jan Average, Saudi Arabia, SAU
8.22867, 1920, Feb Average, Saudi Arabia, SAU
13.3587, 1920, Mar Average, Saudi Arabia, SAU
17.0787, 1920, Apr Average, Saudi Arabia, SAU
9.36378, 1920, May Average, Saudi Arabia, SAU
2.0321, 1920, Jun Average, Saudi Arabia, SAU
4.00456, 1920, Jul Average, Saudi Arabia, SAU
3.98145, 1920, Aug Average, Saudi Arabia, SAU
1.05824, 1920, Sep Average, Saudi Arabia, SAU
2.00002, 1920, Oct Average, Saudi Arabia, SAU
6.48419, 1920, Nov Average, Saudi Arabia, SAU
7.18324, 1920, Dec Average, Saudi Arabia, SAU
6.02903, 1921, Jan Average, Saudi Arabia, SAU
7.0322, 1921, Feb Average, Saudi Arabia, SAU
11.0361, 1921, Mar Average, Saudi Arabia, SAU
15.5488, 1921, Apr Average, Saudi Arabia, SAU
10.4258, 1921, May Average, Saudi Arabia, SAU
2.09432, 1921, Jun Average, Saudi Arabia, SAU
3.94275, 1921, Jul Average, Saudi Arabia, SAU
3.57272, 1921, Aug Average, Saudi Arabia, SAU
1.03696, 1921, Sep Average, Saudi Arabia, SAU
1.95013, 1921, Oct Average, Saudi Arabia, SAU
6.92385, 1921, Nov Average, Saudi Arabia, SAU
6.07081, 1921, Dec Average, Saudi Arabia, SAU
5.91801, 1922, Jan Average, Saudi Arabia, SAU
6.04451, 1922, Feb Average, Saudi Arabia, SAU
10.93, 1922, Mar Average, Saudi Arabia, SAU
16.4555, 1922, Apr Average, Saudi Arabia, SAU
8.60106, 1922, May Average, Saudi Arabia, SAU
1.93111, 1922, Jun Average, Saudi Arabia, SAU
3.86535, 1922, Jul Average, Saudi Arabia, SAU
3.55245, 1922, Aug Average, Saudi Arabia, SAU
1.03698, 1922, Sep Average, Saudi Arabia, SAU
2.02616, 1922, Oct Average, Saudi Arabia, SAU
5.7682, 1922, Nov Average, Saudi Arabia, SAU
5.74366, 1922, Dec Average, Saudi Arabia, SAU
6.55365, 1923, Jan Average, Saudi Arabia, SAU
5.69805, 1923, Feb Average, Saudi Arabia, SAU
12.8595, 1923, Mar Average, Saudi Arabia, SAU
18.0412, 1923, Apr Average, Saudi Arabia, SAU
8.51423, 1923, May Average, Saudi Arabia, SAU
1.91923, 1923, Jun Average, Saudi Arabia, SAU
4.22382, 1923, Jul Average, Saudi Arabia, SAU
3.85508, 1923, Aug Average, Saudi Arabia, SAU
1.03742, 1923, Sep Average, Saudi Arabia, SAU
2.61549, 1923, Oct Average, Saudi Arabia, SAU
8.1338, 1923, Nov Average, Saudi Arabia, SAU
7.40523, 1923, Dec Average, Saudi Arabia, SAU
8.42531, 1924, Jan Average, Saudi Arabia, SAU
6.35596, 1924, Feb Average, Saudi Arabia, SAU
10.8693, 1924, Mar Average, Saudi Arabia, SAU
15.0608, 1924, Apr Average, Saudi Arabia, SAU
8.60999, 1924, May Average, Saudi Arabia, SAU
1.924, 1924, Jun Average, Saudi Arabia, SAU
4.23746, 1924, Jul Average, Saudi Arabia, SAU
3.47098, 1924, Aug Average, Saudi Arabia, SAU
1.03698, 1924, Sep Average, Saudi Arabia, SAU
3.79421, 1924, Oct Average, Saudi Arabia, SAU
7.89216, 1924, Nov Average, Saudi Arabia, SAU
5.7551, 1924, Dec Average, Saudi Arabia, SAU
6.03938, 1925, Jan Average, Saudi Arabia, SAU
5.80729, 1925, Feb Average, Saudi Arabia, SAU
10.4534, 1925, Mar Average, Saudi Arabia, SAU
17.1329, 1925, Apr Average, Saudi Arabia, SAU
9.28307, 1925, May Average, Saudi Arabia, SAU
3.05202, 1925, Jun Average, Saudi Arabia, SAU
3.97361, 1925, Jul Average, Saudi Arabia, SAU
3.68227, 1925, Aug Average, Saudi Arabia, SAU
1.03705, 1925, Sep Average, Saudi Arabia, SAU
2.09778, 1925, Oct Average, Saudi Arabia, SAU
8.41897, 1925, Nov Average, Saudi Arabia, SAU
5.19955, 1925, Dec Average, Saudi Arabia, SAU
6.2538, 1926, Jan Average, Saudi Arabia, SAU
6.33086, 1926, Feb Average, Saudi Arabia, SAU
12.6209, 1926, Mar Average, Saudi Arabia, SAU
15.3485, 1926, Apr Average, Saudi Arabia, SAU
9.33217, 1926, May Average, Saudi Arabia, SAU
2.64453, 1926, Jun Average, Saudi Arabia, SAU
3.80733, 1926, Jul Average, Saudi Arabia, SAU
3.5534, 1926, Aug Average, Saudi Arabia, SAU
1.02661, 1926, Sep Average, Saudi Arabia, SAU
2.0475, 1926, Oct Average, Saudi Arabia, SAU
6.30115, 1926, Nov Average, Saudi Arabia, SAU
6.12663, 1926, Dec Average, Saudi Arabia, SAU
5.35113, 1927, Jan Average, Saudi Arabia, SAU
6.53117, 1927, Feb Average, Saudi Arabia, SAU
10.1801, 1927, Mar Average, Saudi Arabia, SAU
15.9235, 1927, Apr Average, Saudi Arabia, SAU
7.93119, 1927, May Average, Saudi Arabia, SAU
1.86003, 1927, Jun Average, Saudi Arabia, SAU
4.34972, 1927, Jul Average, Saudi Arabia, SAU
3.32578, 1927, Aug Average, Saudi Arabia, SAU
0.99049, 1927, Sep Average, Saudi Arabia, SAU
1.94101, 1927, Oct Average, Saudi Arabia, SAU
6.09163, 1927, Nov Average, Saudi Arabia, SAU
6.60399, 1927, Dec Average, Saudi Arabia, SAU
5.78163, 1928, Jan Average, Saudi Arabia, SAU
