Rainfall - (MM), Year, Statistics, Country, ISO3
48.9585, 1930, Dec Average, Belarus, BLR
47.0166, 1931, Jan Average, Belarus, BLR
32.0911, 1931, Feb Average, Belarus, BLR
32.7242, 1931, Mar Average, Belarus, BLR
34.8875, 1931, Apr Average, Belarus, BLR
36.6709, 1931, May Average, Belarus, BLR
67.4497, 1931, Jun Average, Belarus, BLR
68.5959, 1931, Jul Average, Belarus, BLR
109.793, 1931, Aug Average, Belarus, BLR
85.0747, 1931, Sep Average, Belarus, BLR
58.2158, 1931, Oct Average, Belarus, BLR
46.9354, 1931, Nov Average, Belarus, BLR
54.0949, 1931, Dec Average, Belarus, BLR
16.8175, 1932, Jan Average, Belarus, BLR
27.6464, 1932, Feb Average, Belarus, BLR
17.9519, 1932, Mar Average, Belarus, BLR
37.9029, 1932, Apr Average, Belarus, BLR
85.8041, 1932, May Average, Belarus, BLR
99.0623, 1932, Jun Average, Belarus, BLR
61.6056, 1932, Jul Average, Belarus, BLR
86.3314, 1932, Aug Average, Belarus, BLR
58.5202, 1932, Sep Average, Belarus, BLR
98.8957, 1932, Oct Average, Belarus, BLR
27.0359, 1932, Nov Average, Belarus, BLR
38.4623, 1932, Dec Average, Belarus, BLR
16.0826, 1933, Jan Average, Belarus, BLR
43.6746, 1933, Feb Average, Belarus, BLR
20.6419, 1933, Mar Average, Belarus, BLR
43.1868, 1933, Apr Average, Belarus, BLR
78.4185, 1933, May Average, Belarus, BLR
120.97, 1933, Jun Average, Belarus, BLR
83.3016, 1933, Jul Average, Belarus, BLR
115.018, 1933, Aug Average, Belarus, BLR
84.4498, 1933, Sep Average, Belarus, BLR
65.328, 1933, Oct Average, Belarus, BLR
54.4183, 1933, Nov Average, Belarus, BLR
27.9595, 1933, Dec Average, Belarus, BLR
17.7625, 1934, Jan Average, Belarus, BLR
33.0043, 1934, Feb Average, Belarus, BLR
34.366, 1934, Mar Average, Belarus, BLR
30.4353, 1934, Apr Average, Belarus, BLR
41.9272, 1934, May Average, Belarus, BLR
60.2736, 1934, Jun Average, Belarus, BLR
137.527, 1934, Jul Average, Belarus, BLR
60.4762, 1934, Aug Average, Belarus, BLR
23.9121, 1934, Sep Average, Belarus, BLR
38.585, 1934, Oct Average, Belarus, BLR
60.7376, 1934, Nov Average, Belarus, BLR
11.5576, 1934, Dec Average, Belarus, BLR
42.2589, 1935, Jan Average, Belarus, BLR
50.5467, 1935, Feb Average, Belarus, BLR
24.6991, 1935, Mar Average, Belarus, BLR
51.9945, 1935, Apr Average, Belarus, BLR
57.3567, 1935, May Average, Belarus, BLR
82.567, 1935, Jun Average, Belarus, BLR
124.099, 1935, Jul Average, Belarus, BLR
55.3629, 1935, Aug Average, Belarus, BLR
66.7538, 1935, Sep Average, Belarus, BLR
60.769, 1935, Oct Average, Belarus, BLR
16.492, 1935, Nov Average, Belarus, BLR
54.7003, 1935, Dec Average, Belarus, BLR
65.487, 1936, Jan Average, Belarus, BLR
30.6503, 1936, Feb Average, Belarus, BLR
29.4494, 1936, Mar Average, Belarus, BLR
65.3552, 1936, Apr Average, Belarus, BLR
21.2731, 1936, May Average, Belarus, BLR
64.2103, 1936, Jun Average, Belarus, BLR
63.8206, 1936, Jul Average, Belarus, BLR
80.0024, 1936, Aug Average, Belarus, BLR
72.2811, 1936, Sep Average, Belarus, BLR
60.6251, 1936, Oct Average, Belarus, BLR
39.8047, 1936, Nov Average, Belarus, BLR
30.9003, 1936, Dec Average, Belarus, BLR
20.7384, 1937, Jan Average, Belarus, BLR
44.8666, 1937, Feb Average, Belarus, BLR
47.354, 1937, Mar Average, Belarus, BLR
63.2932, 1937, Apr Average, Belarus, BLR
32.7874, 1937, May Average, Belarus, BLR
52.538, 1937, Jun Average, Belarus, BLR
89.9172, 1937, Jul Average, Belarus, BLR
85.6461, 1937, Aug Average, Belarus, BLR
38.6134, 1937, Sep Average, Belarus, BLR
